time,gFx,gFy,gFz,TgF
0.005000,-0.0284,-0.0239,0.9753,0.976
0.005000,-0.0108,-0.0181,1.0300,1.030
0.006000,-0.0128,-0.0161,1.0926,1.093
0.006000,0.0009,-0.0181,1.1082,1.108
0.007000,-0.0010,-0.0200,1.1043,1.104
0.012000,-0.0186,-0.0220,1.0828,1.083
0.029000,-0.0206,-0.0200,1.0144,1.015
0.030000,-0.0245,-0.0200,0.9753,0.976
0.030000,-0.0362,-0.0279,0.9577,0.959
0.031000,-0.0245,-0.0200,0.9733,0.974
0.059000,-0.0206,-0.0239,1.0124,1.013
0.060000,-0.0108,-0.0220,1.0613,1.062
0.060000,-0.0108,-0.0220,1.0828,1.083
0.061000,-0.0069,-0.0200,1.0769,1.077
0.061000,-0.0108,-0.0220,1.0808,1.081
0.061000,-0.0167,-0.0239,1.0437,1.044
0.067000,-0.0206,-0.0220,1.0007,1.001
0.071000,-0.0304,-0.0259,0.9850,0.986
0.075000,-0.0167,-0.0181,0.9811,0.981
0.080000,-0.0225,-0.0239,1.0124,1.013
0.086000,-0.0128,-0.0220,1.0417,1.042
0.090000,0.0009,-0.0181,1.0671,1.067
0.095000,-0.0128,-0.0200,1.0906,1.091
0.100000,-0.0108,-0.0220,1.0750,1.075
0.105000,-0.0186,-0.0181,1.0398,1.040
0.110000,-0.0128,-0.0239,1.0144,1.015
0.115000,-0.0284,-0.0239,1.0046,1.005
0.126000,-0.0265,-0.0200,1.0085,1.009
0.127000,-0.0265,-0.0220,1.0144,1.015
0.130000,-0.0167,-0.0220,1.0241,1.025
0.136000,-0.0108,-0.0220,1.0593,1.060
0.139000,-0.0167,-0.0259,1.0613,1.062
0.144000,-0.0128,-0.0318,1.0632,1.064
0.149000,-0.0147,-0.0181,1.0280,1.028
0.169000,-0.0167,-0.0220,1.0144,1.015
0.171000,-0.0167,-0.0239,1.0144,1.015
0.172000,-0.0167,-0.0181,1.0085,1.009
0.172000,-0.0089,-0.0298,1.0241,1.025
0.177000,-0.0167,-0.0279,1.0280,1.029
0.179000,-0.0089,-0.0239,1.0476,1.048
0.184000,-0.0069,-0.0181,1.0535,1.054
0.194000,0.0029,-0.0200,1.0378,1.038
0.195000,-0.0030,-0.0220,1.0339,1.034
0.198000,-0.0147,-0.0220,1.0124,1.013
0.204000,-0.0186,-0.0200,1.0202,1.021
0.208000,-0.0323,-0.0239,1.0202,1.021
0.214000,-0.0323,-0.0259,1.0339,1.035
0.219000,-0.0108,-0.0220,1.0183,1.019
0.230000,-0.0128,-0.0200,1.0417,1.042
0.231000,-0.0167,-0.0161,1.0378,1.038
0.233000,-0.0089,-0.0142,1.0320,1.032
0.238000,-0.0147,-0.0181,1.0241,1.024
0.248000,-0.0186,-0.0181,1.0241,1.024
0.248000,-0.0206,-0.0220,1.0300,1.030
0.264000,-0.0030,-0.0220,1.0300,1.030
0.265000,-0.0225,-0.0220,1.0378,1.038
0.266000,-0.0167,-0.0181,1.0359,1.036
0.267000,-0.0265,-0.0181,1.0339,1.034
0.272000,-0.0167,-0.0220,1.0222,1.023
0.277000,-0.0265,-0.0181,1.0241,1.025
0.282000,-0.0245,-0.0181,1.0105,1.011
0.288000,-0.0382,-0.0161,1.0300,1.031
0.292000,-0.0460,-0.0220,1.0261,1.027
0.296000,-0.0284,-0.0220,1.0437,1.044
0.312000,-0.0284,-0.0181,1.0378,1.038
0.313000,-0.0225,-0.0200,1.0280,1.028
0.313000,-0.0284,-0.0181,1.0378,1.038
0.316000,-0.0284,-0.0161,1.0280,1.029
0.321000,-0.0186,-0.0181,1.0202,1.021
0.326000,-0.0186,-0.0161,1.0163,1.017
0.331000,-0.0069,-0.0181,1.0300,1.030
0.360000,-0.0128,-0.0200,1.0320,1.032
0.361000,-0.0069,-0.0200,1.0339,1.034
0.362000,-0.0108,-0.0181,1.0261,1.026
0.362000,-0.0108,-0.0220,1.0183,1.019
0.362000,-0.0128,-0.0239,1.0183,1.019
0.363000,-0.0089,-0.0181,1.0183,1.018
0.366000,-0.0206,-0.0200,1.0183,1.019
0.370000,-0.0186,-0.0239,1.0378,1.038
0.375000,-0.0167,-0.0181,1.0320,1.032
0.380000,-0.0225,-0.0259,1.0300,1.031
0.388000,-0.0265,-0.0200,1.0261,1.027
0.390000,-0.0225,-0.0259,1.0398,1.040
0.395000,-0.0304,-0.0220,1.0339,1.035
0.400000,-0.0304,-0.0318,1.0300,1.031
0.412000,-0.0265,-0.0259,1.0261,1.027
0.414000,-0.0265,-0.0239,1.0280,1.029
0.415000,-0.0167,-0.0239,1.0339,1.034
0.427000,-0.0186,-0.0259,1.0300,1.030
0.428000,-0.0167,-0.0318,1.0378,1.038
0.432000,-0.0089,-0.0239,1.0320,1.032
0.434000,-0.0147,-0.0239,1.0280,1.028
0.460000,-0.0030,-0.0298,1.0339,1.034
0.461000,0.0009,-0.0220,1.0280,1.028
0.462000,0.0029,-0.0279,1.0144,1.015
0.462000,0.0068,-0.0200,1.0183,1.018
0.463000,0.0009,-0.0239,1.0202,1.021
0.464000,0.0009,-0.0259,1.0320,1.032
0.471000,0.0068,-0.0279,1.0320,1.032
0.473000,-0.0069,-0.0259,1.0202,1.021
0.478000,0.0048,-0.0200,1.0359,1.036
0.483000,-0.0089,-0.0279,1.0261,1.027
0.489000,-0.0186,-0.0220,1.0300,1.030
0.493000,-0.0147,-0.0220,1.0261,1.026
0.498000,-0.0147,-0.0181,1.0378,1.038
0.511000,-0.0206,-0.0220,1.0280,1.028
0.512000,-0.0128,-0.0142,1.0378,1.038
0.513000,-0.0206,-0.0200,1.0398,1.040
0.518000,-0.0128,-0.0122,1.0359,1.036
0.523000,-0.0206,-0.0122,1.0300,1.030
0.527000,-0.0245,-0.0103,1.0280,1.028
0.533000,-0.0167,-0.0122,1.0222,1.022
0.553000,-0.0147,-0.0142,1.0300,1.030
0.555000,-0.0147,-0.0142,1.0241,1.024
0.555000,-0.0049,-0.0161,1.0320,1.032
0.556000,0.0068,-0.0122,1.0202,1.020
0.557000,-0.0010,-0.0200,1.0183,1.018
0.562000,-0.0030,-0.0142,1.0144,1.014
0.567000,-0.0049,-0.0161,1.0280,1.028
