time,gFx,gFy,gFz,TgF
0.006000,-0.0206,-0.0200,1.0280,1.028
0.007000,-0.0147,-0.0161,1.0456,1.046
0.007000,-0.0108,-0.0161,1.0808,1.081
0.008000,-0.0069,-0.0142,1.0750,1.075
0.008000,-0.0147,-0.0181,1.0691,1.069
0.008000,-0.0128,-0.0142,1.0652,1.065
0.009000,-0.0089,-0.0181,1.0711,1.071
0.009000,-0.0089,-0.0220,1.0691,1.069
0.010000,-0.0128,-0.0181,1.0574,1.058
0.010000,-0.0206,-0.0220,1.0613,1.062
0.010000,-0.0225,-0.0220,1.0476,1.048
0.011000,-0.0265,-0.0161,1.0456,1.046
0.011000,-0.0206,-0.0200,1.0671,1.068
0.053000,-0.0186,-0.0181,1.0769,1.077
0.055000,-0.0186,-0.0181,1.0711,1.071
0.055000,-0.0128,-0.0200,1.0789,1.079
0.056000,-0.0186,-0.0181,1.0769,1.077
0.056000,-0.0147,-0.0181,1.0730,1.073
0.057000,-0.0089,-0.0161,1.0671,1.067
0.057000,-0.0206,-0.0200,1.0593,1.060
0.057000,-0.0167,-0.0200,1.0574,1.058
0.058000,-0.0128,-0.0200,1.0632,1.064
0.067000,-0.0186,-0.0220,1.0750,1.075
0.067000,-0.0147,-0.0161,1.0691,1.069
0.093000,-0.0167,-0.0181,1.0652,1.065
0.094000,-0.0069,-0.0181,1.0730,1.073
0.095000,-0.0167,-0.0181,1.0671,1.067
0.095000,-0.0167,-0.0181,1.0750,1.075
0.096000,-0.0128,-0.0142,1.0671,1.067
0.096000,-0.0167,-0.0161,1.0750,1.075
0.107000,-0.0206,-0.0161,1.0554,1.056
0.109000,-0.0186,-0.0161,1.0691,1.069
0.144000,-0.0186,-0.0181,1.0769,1.077
0.145000,-0.0225,-0.0200,1.0730,1.073
0.146000,-0.0225,-0.0181,1.0828,1.083
0.146000,-0.0147,-0.0142,1.0730,1.073
0.147000,-0.0147,-0.0161,1.0652,1.065
0.147000,-0.0147,-0.0161,1.0789,1.079
0.148000,-0.0147,-0.0181,1.0593,1.060
0.148000,-0.0186,-0.0161,1.0613,1.062
0.148000,-0.0128,-0.0181,1.0691,1.069
0.153000,-0.0147,-0.0181,1.0769,1.077
0.175000,-0.0206,-0.0200,1.0730,1.073
0.176000,-0.0108,-0.0161,1.0711,1.071
0.177000,-0.0167,-0.0200,1.0671,1.067
0.178000,-0.0089,-0.0122,1.0730,1.073
0.181000,-0.0128,-0.0142,1.0730,1.073
0.182000,-0.0147,-0.0181,1.0769,1.077
0.187000,-0.0206,-0.0200,1.0769,1.077
0.198000,-0.0147,-0.0161,1.0691,1.069
0.198000,-0.0128,-0.0161,1.0769,1.077
0.202000,-0.0089,-0.0142,1.0652,1.065
0.207000,-0.0186,-0.0181,1.0691,1.069
0.212000,-0.0167,-0.0200,1.0847,1.085
0.218000,-0.0108,-0.0181,1.0632,1.063
0.240000,-0.0128,-0.0161,1.0730,1.073
0.242000,-0.0167,-0.0200,1.0730,1.073
0.242000,-0.0186,-0.0161,1.0711,1.071
0.243000,-0.0108,-0.0161,1.0828,1.083
0.247000,-0.0167,-0.0161,1.0750,1.075
0.248000,-0.0069,-0.0181,1.0750,1.075
0.251000,-0.0167,-0.0181,1.0730,1.073
0.257000,-0.0186,-0.0161,1.0808,1.081
0.261000,-0.0128,-0.0142,1.0711,1.071
0.266000,-0.0147,-0.0161,1.0867,1.087
0.271000,-0.0225,-0.0181,1.0847,1.085
0.276000,-0.0245,-0.0181,1.0847,1.085
0.281000,-0.0186,-0.0161,1.0867,1.087
0.286000,-0.0030,-0.0161,1.0828,1.083
0.299000,-0.0030,-0.0122,1.0828,1.083
0.300000,-0.0147,-0.0161,1.0847,1.085
0.301000,-0.0128,-0.0161,1.0847,1.085
0.306000,-0.0186,-0.0220,1.0847,1.085
0.311000,-0.0128,-0.0142,1.0847,1.085
0.340000,-0.0069,-0.0142,1.0828,1.083
0.341000,-0.0147,-0.0161,1.0847,1.085
0.342000,-0.0128,-0.0161,1.0789,1.079
0.342000,-0.0206,-0.0239,1.0887,1.089
0.343000,-0.0147,-0.0142,1.0789,1.079
