date/YYYYMMDD,time/HH,at/C,slp/hPa,wdNcw/deg,ws/ms-1,dongsiPM2.5,nongzhanguanPM2.5
2015/1/1,0,-7.2,1034.9,340.0,1.0,3.0,7.0
2015/1/1,3,-1.2,1034.0,180.0,3.0,4.9,36.9
2015/1/1,6,2.2,1028.9,220.0,3.0,40.9,54.8
2015/1/1,9,0.1,1026.9,220.0,1.0,31.4,51.8
2015/1/1,12,-1.9,1026.6,200.0,2.0,75.9,88.8
2015/1/1,15,-4.9,1027.2,320.0,1.0,86.1,124.0
2015/1/1,18,-5.7,1028.7,350.0,5.0,81.3,98.9
2015/1/1,21,-3.1,1030.4,40.0,3.0,16.3,27.7
2015/1/2,0,-5.7,1032.1,40.0,2.0,3.8,12.3
2015/1/2,3,1.6,1032.8,40.0,2.0,11.6,21.3
2015/1/2,6,4.5,1029.6,200.0,3.0,9.8,16.7
2015/1/2,9,1.6,1028.6,220.0,3.0,55.4,59.3
2015/1/2,12,-1.2,1027.9,220.0,2.0,66.8,82.8
2015/1/2,15,-2.2,1025.5,200.0,2.0,143.9,121.4
2015/1/2,18,-4.8,1023.3,250.0,1.0,185.2,156.2
2015/1/2,21,-6.0,1020.5,110.0,1.0,192.3,176.4
2015/1/3,0,-4.2,1018.7,70.0,2.0,190.4,193.3
2015/1/3,3,-1.0,1017.6,40.0,2.0,136.9,136.0
2015/1/3,6,2.3,1014.1,40.0,1.0,180.4,153.5
2015/1/3,9,1.3,1014.3,180.0,1.0,166.2,163.9
2015/1/3,12,-1.1,1015.6,200.0,1.0,266.2,222.2
2015/1/3,15,-3.8,1015.5,360.0,1.0,304.1,252.3
2015/1/3,18,-5.3,1015.8,40.0,1.0,227.3,278.4
2015/1/3,21,-6.7,1015.4,90.0,1.0,145.6,167.1
2015/1/4,0,-3.6,1017.0,220.0,1.0,149.8,126.3
2015/1/4,3,4.0,1018.3,290.0,1.0,141.0,98.9
2015/1/4,6,8.4,1015.7,90.0,3.0,101.2,102.2
2015/1/4,9,5.3,1016.3,90.0,2.0,196.4,
2015/1/4,12,1.3,1017.7,90.0,1.0,327.4,322.1
2015/1/4,15,2.0,1017.7,40.0,1.0,251.8,312.8
2015/1/4,18,1.0,1016.7,360.0,1.0,144.9,202.0
2015/1/4,21,1.8,1015.9,20.0,1.0,130.4,151.2
2015/1/5,0,2.5,1016.1,90.0,2.0,169.4,170.5
2015/1/5,3,7.6,1017.2,70.0,1.0,,169.5
2015/1/5,6,9.7,1017.5,340.0,6.0,25.0,27.7
2015/1/5,9,6.1,1022.8,360.0,6.0,10.4,16.3
2015/1/5,12,2.2,1027.2,340.0,7.0,7.7,6.9
2015/1/5,15,-0.1,1028.9,360.0,5.0,5.9,3.0
2015/1/5,18,-1.1,1030.0,340.0,4.0,6.2,11.2
2015/1/5,21,-1.3,1029.7,360.0,4.0,5.9,7.4
2015/1/6,0,-2.8,1029.9,40.0,2.0,8.2,9.8
2015/1/6,3,2.2,1028.8,360.0,1.0,15.8,15.9
2015/1/6,6,3.4,1025.9,220.0,4.0,23.3,17.3
2015/1/6,9,1.7,1026.0,220.0,2.0,47.2,51.4
2015/1/6,12,-0.7,1026.8,220.0,2.0,84.7,78.1
2015/1/6,15,-2.4,1027.0,220.0,1.0,107.7,106.3
2015/1/6,18,-4.8,1027.5,350.0,3.0,111.5,137.5
2015/1/6,21,-6.5,1027.7,360.0,2.0,26.9,66.7
2015/1/7,0,-4.8,1030.0,40.0,1.0,20.3,27.9
2015/1/7,3,1.9,1031.5,90.0,3.0,47.7,61.9
2015/1/7,6,3.2,1030.4,200.0,2.0,63.7,66.4
2015/1/7,9,1.8,1030.8,90.0,1.0,73.5,81.3
2015/1/7,12,-1.1,1032.1,180.0,1.0,65.2,76.0
2015/1/7,15,-2.6,1032.2,200.0,1.0,75.7,99.9
2015/1/7,18,-3.7,1032.9,270.0,2.0,67.1,70.2
2015/1/7,21,-6.1,1031.5,-9999.0,1.0,135.1,168.4
2015/1/8,0,-6.1,1032.0,40.0,1.0,147.0,160.4
2015/1/8,3,-0.3,1030.9,40.0,1.0,78.6,96.2
2015/1/8,6,3.4,1027.9,200.0,3.0,128.5,124.4
2015/1/8,9,2.2,1027.8,200.0,1.0,168.3,175.3
2015/1/8,12,-1.1,1028.2,-9999.0,1.0,188.6,189.3
2015/1/8,15,-3.5,1028.6,250.0,1.0,335.3,379.4
2015/1/8,18,-3.3,1029.2,90.0,2.0,203.5,245.9
2015/1/8,21,-5.0,1028.7,360.0,5.0,57.6,127.0
2015/1/9,0,-0.7,1030.3,40.0,2.0,6.5,10.4
2015/1/9,3,4.3,1031.4,20.0,4.0,10.2,13.4
2015/1/9,6,6.5,1028.5,360.0,2.0,7.7,7.8
2015/1/9,9,5.7,1028.0,40.0,2.0,7.6,12.9
2015/1/9,12,1.9,1028.0,200.0,2.0,119.4,102.2
2015/1/9,15,1.2,1026.9,250.0,2.0,289.1,298.1
2015/1/9,18,-2.2,1025.6,250.0,1.0,295.6,280.4
2015/1/9,21,-4.1,1024.1,220.0,1.0,306.7,251.8
2015/1/10,0,-5.0,1024.0,250.0,1.0,218.0,198.0
2015/1/10,3,4.7,1022.5,160.0,1.0,200.9,223.7
2015/1/10,6,10.7,1019.7,200.0,3.0,197.2,128.3
2015/1/10,9,8.2,1020.8,180.0,2.0,103.1,82.0
2015/1/10,12,2.2,1022.0,220.0,2.0,226.5,203.1
2015/1/10,15,1.7,1024.9,40.0,1.0,114.6,119.5
2015/1/10,18,3.1,1027.9,40.0,3.0,3.7,7.7
2015/1/10,21,0.9,1029.9,40.0,4.0,4.0,7.1
2015/1/11,0,-1.9,1034.0,220.0,1.0,3.0,3.0
2015/1/11,3,3.6,1035.1,250.0,1.0,8.2,12.1
2015/1/11,6,6.1,1033.1,140.0,1.0,21.0,21.9
2015/1/11,9,3.8,1034.0,200.0,1.0,37.0,32.4
2015/1/11,12,1.1,1035.8,200.0,2.0,101.7,84.5
2015/1/11,15,-1.0,1037.2,180.0,3.0,105.5,99.7
2015/1/11,18,-2.7,1037.7,200.0,1.0,64.4,59.9
2015/1/11,21,-3.9,1037.8,180.0,1.0,86.4,83.4
2015/1/12,0,-4.2,1038.8,110.0,1.0,102.3,110.0
2015/1/12,3,-0.1,1039.6,200.0,2.0,135.4,137.1
2015/1/12,6,3.8,1036.2,180.0,3.0,94.8,93.1
2015/1/12,9,2.5,1035.4,180.0,2.0,60.1,74.9
2015/1/12,12,-1.3,1035.8,40.0,1.0,66.4,69.7
2015/1/12,15,-0.4,1035.3,160.0,1.0,129.7,175.9
2015/1/12,18,-3.1,1034.5,40.0,1.0,120.4,156.3
2015/1/12,21,-3.7,1033.1,70.0,2.0,168.6,160.4
2015/1/13,0,-4.0,1033.7,40.0,1.0,127.0,141.3
2015/1/13,3,-0.3,1033.6,360.0,2.0,111.8,131.9
2015/1/13,6,2.2,1030.5,90.0,2.0,144.5,154.7
2015/1/13,9,1.8,1030.4,110.0,1.0,189.5,187.3
2015/1/13,12,-1.8,1031.4,40.0,1.0,206.6,244.5
2015/1/13,15,-3.6,1031.7,20.0,1.0,267.1,376.6
2015/1/13,18,-4.0,1031.6,40.0,1.0,292.0,303.0
2015/1/13,21,-2.1,1030.5,40.0,1.0,171.4,191.7
2015/1/14,0,-1.0,1031.2,40.0,1.0,170.4,161.6
2015/1/14,3,0.1,1031.5,40.0,2.0,179.7,189.4
2015/1/14,6,0.8,1029.4,40.0,2.0,233.4,232.1
2015/1/14,9,0.8,1030.0,90.0,1.0,254.9,269.2
2015/1/14,12,-0.3,1030.8,220.0,1.0,265.2,281.1
2015/1/14,15,-1.7,1030.7,200.0,2.0,271.7,324.5
2015/1/14,18,-3.9,1029.9,250.0,1.0,279.6,272.4
2015/1/14,21,-4.8,1029.1,350.0,2.0,265.8,276.3
2015/1/15,0,-4.4,1030.0,200.0,1.0,208.1,214.6
2015/1/15,3,-2.9,1030.2,200.0,1.0,,253.2
2015/1/15,6,-0.6,1026.9,200.0,2.0,461.7,354.1
2015/1/15,9,-0.9,1026.4,220.0,2.0,383.0,465.7
2015/1/15,12,-3.1,1026.4,220.0,2.0,408.9,428.5
2015/1/15,15,-3.4,1026.2,250.0,2.0,449.6,460.8
2015/1/15,18,-3.2,1025.5,270.0,2.0,438.6,513.4
2015/1/15,21,0.0,1024.9,360.0,3.0,68.8,149.2
2015/1/16,0,0.2,1027.4,360.0,4.0,9.0,14.1
2015/1/16,3,1.0,1029.7,320.0,5.0,13.5,10.1
2015/1/16,6,2.1,1030.0,320.0,4.0,11.1,11.9
2015/1/16,9,1.7,1031.3,340.0,5.0,5.8,8.7
2015/1/16,12,0.3,1034.6,360.0,4.0,8.3,14.6
2015/1/16,15,-1.2,1035.8,20.0,2.0,10.9,11.7
2015/1/16,18,-3.9,1035.5,40.0,2.0,11.6,20.7
2015/1/16,21,-5.5,1034.8,40.0,2.0,8.5,9.6
2015/1/17,0,-6.7,1035.5,270.0,1.0,10.7,12.5
2015/1/17,3,-1.1,1034.7,220.0,2.0,19.5,18.8
2015/1/17,6,2.2,1030.7,220.0,4.0,89.6,90.9
2015/1/17,9,1.9,1028.7,220.0,2.0,124.9,119.4
2015/1/17,12,-0.4,1028.6,200.0,1.0,157.0,144.7
2015/1/17,15,-0.3,1027.0,250.0,1.0,114.7,103.8
2015/1/17,18,-1.0,1023.9,20.0,1.0,159.0,197.1
2015/1/17,21,-1.2,1020.3,90.0,1.0,115.3,152.2
2015/1/18,0,-1.4,1019.2,220.0,1.0,117.4,148.4
2015/1/18,3,2.6,1018.5,250.0,2.0,128.3,131.5
2015/1/18,6,6.6,1017.1,290.0,6.0,19.0,34.1
2015/1/18,9,4.5,1019.5,340.0,4.0,8.0,17.3
2015/1/18,12,3.0,1022.4,320.0,4.0,10.6,13.2
2015/1/18,15,2.6,1023.6,340.0,3.0,4.1,12.6
2015/1/18,18,1.1,1025.2,160.0,1.0,3.0,9.0
2015/1/18,21,-2.0,1025.8,20.0,1.0,12.0,19.5
2015/1/19,0,-4.1,1027.9,360.0,1.0,19.6,41.9
2015/1/19,3,3.6,1028.3,160.0,1.0,36.4,58.8
2015/1/19,6,6.0,1024.9,180.0,3.0,48.6,66.6
2015/1/19,9,5.6,1024.0,160.0,2.0,61.3,63.1
2015/1/19,12,2.1,1024.4,140.0,1.0,88.6,88.8
2015/1/19,15,-1.6,1025.0,40.0,2.0,54.5,59.8
2015/1/19,18,-2.7,1024.5,70.0,3.0,76.8,83.1
2015/1/19,21,-3.8,1023.3,70.0,1.0,70.5,81.0
2015/1/20,0,-4.1,1022.9,40.0,1.0,72.6,72.1
2015/1/20,3,1.5,1023.1,40.0,3.0,84.0,100.9
2015/1/20,6,3.6,1019.9,90.0,3.0,74.0,81.6
2015/1/20,9,2.8,1020.7,40.0,1.0,89.9,91.1
2015/1/20,12,-0.2,1023.3,40.0,1.0,106.1,114.1
2015/1/20,15,-0.8,1024.6,340.0,2.0,92.4,86.6
2015/1/20,18,3.1,1026.0,340.0,5.0,9.6,12.3
2015/1/20,21,1.7,1026.6,360.0,5.0,9.9,12.5
2015/1/21,0,0.7,1029.1,360.0,5.0,6.6,12.6
2015/1/21,3,3.1,1029.8,360.0,4.0,11.3,15.2
2015/1/21,6,5.3,1027.8,340.0,4.0,9.0,9.0
2015/1/21,9,4.5,1028.0,40.0,1.0,10.2,15.4
2015/1/21,12,-1.2,1028.8,360.0,1.0,28.0,18.1
2015/1/21,15,-1.9,1028.8,-9999.0,1.0,30.7,26.7
2015/1/21,18,-4.3,1028.2,140.0,1.0,56.2,59.1
2015/1/21,21,-5.9,1027.2,180.0,1.0,31.1,35.9
2015/1/22,0,-4.8,1027.3,90.0,1.0,41.7,64.5
2015/1/22,3,0.8,1026.6,40.0,2.0,,204.0
2015/1/22,6,5.3,1022.9,200.0,3.0,159.7,146.8
2015/1/22,9,4.0,1021.9,220.0,2.0,173.8,161.6
2015/1/22,12,1.1,1021.8,200.0,2.0,208.1,190.6
2015/1/22,15,-0.6,1021.0,200.0,2.0,210.6,175.9
2015/1/22,18,-3.4,1020.2,-9999.0,1.0,286.5,289.1
2015/1/22,21,-5.6,1018.9,90.0,1.0,239.3,207.4
2015/1/23,0,-5.3,1019.3,20.0,1.0,197.1,191.0
2015/1/23,3,1.8,1018.9,20.0,2.0,209.3,201.3
2015/1/23,6,6.5,1016.8,160.0,1.0,216.7,209.6
2015/1/23,9,5.1,1017.7,220.0,2.0,233.1,242.8
2015/1/23,12,-0.2,1020.4,90.0,1.0,275.5,271.2
2015/1/23,15,-0.7,1022.0,70.0,1.0,281.2,310.5
2015/1/23,18,-0.5,1023.4,40.0,2.0,53.5,82.6
2015/1/23,21,0.6,1024.7,40.0,2.0,29.9,34.9
2015/1/24,0,1.0,1027.3,70.0,2.0,91.2,63.5
2015/1/24,3,1.6,1028.8,110.0,2.0,105.8,121.7
2015/1/24,6,3.9,1026.6,140.0,3.0,107.1,107.8
2015/1/24,9,2.9,1027.2,70.0,2.0,64.6,89.3
2015/1/24,12,-0.6,1028.2,160.0,1.0,81.1,80.2
2015/1/24,15,-1.1,1028.3,220.0,1.0,100.7,91.5
2015/1/24,18,-1.3,1027.7,220.0,1.0,105.8,88.8
2015/1/24,21,-2.4,1026.1,220.0,1.0,68.8,70.2
2015/1/25,0,-1.8,1026.4,200.0,2.0,96.5,84.3
2015/1/25,3,1.3,1026.8,180.0,2.0,121.0,111.4
2015/1/25,6,2.9,1023.6,250.0,2.0,129.0,132.7
2015/1/25,9,1.6,1023.1,200.0,2.0,168.7,145.7
2015/1/25,12,-0.9,1024.5,220.0,2.0,205.1,189.6
2015/1/25,15,-2.0,1025.2,220.0,1.0,227.7,213.1
2015/1/25,18,-3.1,1023.8,250.0,1.0,246.4,218.8
2015/1/25,21,-4.7,1022.8,270.0,1.0,235.8,266.9
2015/1/26,0,-3.0,1025.9,70.0,1.0,207.4,240.6
2015/1/26,3,5.0,1028.7,20.0,5.0,20.9,
2015/1/26,6,3.4,1029.6,360.0,7.0,12.0,4.1
2015/1/26,9,1.3,1032.3,360.0,2.0,3.0,7.9
2015/1/26,12,-0.6,1035.9,340.0,4.0,13.3,6.2
2015/1/26,15,-2.7,1037.5,340.0,6.0,12.9,11.1
2015/1/26,18,-4.3,1038.3,340.0,6.0,13.8,10.2
2015/1/26,21,-5.5,1037.4,360.0,3.0,8.4,10.3
2015/1/27,0,-6.0,1038.5,360.0,3.0,14.6,
2015/1/27,3,-2.3,1039.0,360.0,4.0,13.2,13.9
2015/1/27,6,0.4,1035.3,20.0,5.0,8.6,11.8
2015/1/27,9,-0.9,1034.5,90.0,3.0,13.1,20.3
2015/1/27,12,-4.0,1035.5,250.0,1.0,35.4,35.9
2015/1/27,15,-4.7,1037.0,200.0,1.0,52.0,43.9
2015/1/27,18,-4.1,1036.1,20.0,2.0,42.1,53.7
2015/1/27,21,-3.9,1035.8,40.0,2.0,11.0,10.1
2015/1/28,0,-4.4,1036.4,20.0,2.0,10.1,11.0
2015/1/28,3,-1.4,1036.9,20.0,2.0,15.1,14.2
2015/1/28,6,0.5,1033.4,110.0,1.0,28.8,20.4
2015/1/28,9,-0.4,1032.3,160.0,2.0,47.4,49.8
2015/1/28,12,-1.3,1032.2,140.0,2.0,59.8,100.2
2015/1/28,15,-1.6,1032.1,200.0,2.0,,128.0
2015/1/28,18,-1.5,1030.4,250.0,3.0,148.5,128.7
2015/1/28,21,-3.4,1029.3,200.0,2.0,110.2,102.5
2015/1/29,0,-3.9,1030.1,220.0,2.0,83.8,86.7
2015/1/29,3,-1.0,1029.8,180.0,2.0,133.8,118.3
2015/1/29,6,4.1,1027.1,320.0,5.0,11.1,21.3
