,index,shunt,shunt_v,source,source_v,bias,millisecs,current_a,power_w,secs
0,0,294,0.202881,1696,1.229736,17,30004,0.057966000000000004,0.071282876976,30.004
1,1,308,0.212402,1697,1.229736,18,40004,0.06068628571428571,0.07462811024914286,40.004
2,2,275,0.188232,1699,1.231201,18,50004,0.053780571428571435,0.06621469332342858,50.004
3,3,289,0.198486,1692,1.226074,18,60005,0.05671028571428571,0.06953100684685715,60.005
4,4,250,0.169922,1697,1.229736,18,70005,0.04854914285714285,0.059702628740571424,70.005
5,5,282,0.194092,1698,1.231201,17,80005,0.05545485714285714,0.06827607556914285,80.005
6,6,269,0.183838,1699,1.231201,18,90005,0.05252514285714286,0.06466900841085714,90.005
7,7,300,0.206543,1696,1.229004,18,100005,0.05901228571428572,0.07252633519200001,100.005
8,8,294,0.202148,1693,1.226807,18,110005,0.05775657142857143,0.07085616612457142,110.005
9,9,640,0.455566,1662,1.204102,18,120006,0.1301617142857143,0.15672798049485714,120.006
10,10,657,0.468018,1689,1.223877,18,130006,0.13371942857142857,0.1636561330817143,130.006
11,11,651,0.463623,1685,1.220947,18,140006,0.1324637142857143,0.161731174566,140.006
12,12,646,0.459961,1689,1.223877,18,150006,0.13141742857142857,0.1608387682277143,150.006
13,13,643,0.457764,1690,1.224609,18,160006,0.1307897142857143,0.1601662612217143,160.006
14,14,641,0.456299,1689,1.223877,18,170007,0.13037114285714285,0.15955824320657144,170.007
15,15,642,0.457031,1686,1.22168,18,180007,0.13058028571428573,0.15952732345142862,180.007
16,16,643,0.457764,1686,1.22168,18,190007,0.1307897142857143,0.15978317814857143,190.007
17,17,642,0.457031,1685,1.220947,18,200007,0.13058028571428573,0.15943160810200002,200.007
18,18,642,0.457031,1686,1.22168,18,210007,0.13058028571428573,0.15952732345142862,210.007
19,19,641,0.456299,1685,1.220947,18,220008,0.13037114285714285,0.15917625575799998,220.008
20,20,638,0.454102,1686,1.22168,18,230008,0.12974342857142857,0.15850495181714286,230.008
21,21,640,0.455566,1684,1.220215,18,240008,0.1301617142857143,0.15882527619714287,240.008
22,22,642,0.457031,1684,1.220215,18,250008,0.13058028571428573,0.15933602333285718,250.008
23,23,638,0.454102,1684,1.220215,18,260008,0.12974342857142857,0.1583148776942857,260.008
24,24,635,0.451904,1684,1.220215,18,270008,0.12911542857142858,0.15754858267428573,270.008
25,25,635,0.451904,1684,1.220215,18,280009,0.12911542857142858,0.15754858267428573,280.009
26,26,632,0.449707,1684,1.220215,18,290009,0.1284877142857143,0.15678263628714287,290.009
27,27,632,0.449707,1684,1.220215,18,300009,0.1284877142857143,0.15678263628714287,300.009
28,28,630,0.448242,1682,1.21875,18,310009,0.12806914285714285,0.15608426785714286,310.009
